Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
1,53,1,0,2,2,3,0,42,5,4,1,2664.0,2037,627.0,0.85,1286,29,0.933,0.765
1,45,1,3,2,1,1,0,35,5,4,2,3454.0,1200,2254.0,0.597,1313,30,0.304,0.347
1,53,1,3,1,1,1,0,35,5,3,2,3789.0,1706,2083.0,1.047,1609,42,0.68,0.45
1,53,1,3,2,1,0,0,34,6,2,2,2940.0,1264,1676.0,0.562,1259,33,0.5,0.43
1,43,0,4,4,1,4,0,33,2,3,3,8358.0,926,7432.0,0.762,1566,37,0.542,0.111
1,42,1,4,3,0,2,0,36,5,1,2,3263.0,1674,1589.0,0.588,1251,35,0.346,0.513
1,53,0,2,3,1,4,0,44,3,2,3,5362.0,1901,3461.0,0.816,1553,38,1.0,0.355
1,47,0,3,3,2,1,0,41,4,3,3,3788.0,1540,2248.0,0.566,1594,47,0.382,0.407
1,47,1,3,2,2,2,0,36,4,2,2,2926.0,0,2926.0,0.676,1304,24,0.846,0.0
1,47,1,2,1,2,4,0,37,2,1,3,3235.0,797,2438.0,0.541,1493,32,1.0,0.246
1,53,1,2,3,0,2,0,36,5,3,2,7753.0,2100,5653.0,0.839,991,26,0.733,0.271
1,59,0,1,2,2,4,0,36,3,2,3,6335.0,1128,5207.0,0.397,1217,20,0.667,0.178
1,41,1,2,3,1,3,0,24,4,1,3,9366.0,1104,8262.0,0.572,1303,39,0.625,0.118
1,42,0,5,6,1,1,0,36,3,3,3,2038.0,0,2038.0,0.786,1238,28,0.75,0.0
1,49,1,1,1,1,0,0,38,6,1,3,9364.0,618,8746.0,0.554,1099,27,0.8,0.066
1,43,0,4,2,0,4,0,34,2,3,1,3195.0,1954,1241.0,0.971,1285,29,0.706,0.612
1,56,1,0,3,1,3,0,43,5,2,1,2852.0,1024,1828.0,1.009,1651,28,1.0,0.359
1,59,0,1,0,2,5,0,36,2,3,3,4224.0,1305,2919.0,0.852,1152,31,0.824,0.309
1,51,0,3,5,1,4,0,43,3,1,2,2185.0,1761,424.0,0.682,1645,30,0.429,0.806
1,53,1,3,3,1,2,0,47,5,2,2,1438.3,0,1438.3,0.776,2184,53,0.828,0.0
1,52,0,1,3,1,4,0,45,6,3,3,6703.0,893,5810.0,0.567,1388,28,0.75,0.133
1,41,0,3,3,1,1,0,36,4,1,2,9797.0,1434,8363.0,0.644,1503,34,0.478,0.146
1,45,0,5,2,0,1,0,36,5,2,2,10400.0,1777,8623.0,0.791,1105,28,0.867,0.171
1,59,0,1,5,1,1,0,36,4,2,3,3356.0,985,2371.0,0.35,999,28,0.556,0.294
1,51,1,3,2,1,3,0,36,6,2,3,11106.0,2107,8999.0,0.948,1243,24,1.0,0.19
1,49,0,3,5,2,5,0,38,6,2,1,12860.0,0,12860.0,0.646,1348,27,0.286,0.0
1,50,0,2,3,1,4,0,36,5,1,2,9355.0,1626,7729.0,0.701,1230,28,0.867,0.174
1,57,0,3,2,1,4,0,47,4,2,3,6347.0,1594,4753.0,0.896,1771,37,0.762,0.251
1,51,0,5,4,1,4,0,44,5,1,1,3449.0,1598,1851.0,0.971,1679,42,0.556,0.463
1,47,0,3,3,1,4,0,34,2,1,2,6028.0,799,5229.0,0.819,1002,22,0.571,0.133
1,44,1,5,2,1,2,0,32,4,5,3,11376.0,2006,9370.0,0.619,1302,27,0.8,0.176
1,53,0,2,3,1,4,0,36,4,1,2,2377.0,1649,728.0,0.93,1378,26,1.167,0.694
1,52,1,3,2,1,0,0,47,5,3,3,11086.0,2207,8879.0,0.869,1523,40,1.105,0.199
1,48,1,3,3,2,2,0,36,4,2,2,11432.0,2517,8915.0,0.615,1374,37,0.762,0.22
1,48,1,2,0,2,4,0,36,3,2,3,2571.0,1955,616.0,0.531,1234,24,0.714,0.76
1,44,1,4,6,1,2,0,30,5,1,2,7872.0,2509,5363.0,0.971,1155,32,0.882,0.319
1,48,0,3,2,0,1,0,39,6,2,3,2115.0,1141,974.0,0.616,1223,20,0.538,0.539
1,44,0,2,2,0,4,0,27,5,2,2,1438.3,679,759.3,0.859,1117,29,1.071,0.472
1,45,1,3,0,2,2,0,32,4,1,2,1438.3,0,1438.3,0.81,1468,26,0.625,0.0
1,51,0,2,2,1,4,0,36,3,1,3,3106.0,1304,1802.0,0.604,1368,38,0.407,0.42
1,41,1,5,2,2,0,0,29,5,2,2,5207.0,1748,3459.0,1.073,1310,26,1.0,0.336
1,43,1,1,0,2,2,0,37,6,3,3,2733.0,1819,914.0,0.767,933,25,0.923,0.666
1,41,1,2,5,1,1,0,30,5,3,3,11107.0,1222,9885.0,0.538,1506,33,0.941,0.11
1,39,1,2,3,2,3,0,36,4,2,2,5269.0,1475,3794.0,1.148,2094,25,0.667,0.28
1,54,1,2,2,1,3,0,46,6,2,3,1982.0,1289,693.0,0.939,1377,49,0.69,0.65
1,49,1,3,5,2,3,0,43,2,2,2,4645.0,1650,2995.0,0.912,1193,33,0.65,0.355
1,46,0,3,1,2,5,0,36,6,3,2,2189.0,1666,523.0,0.343,1287,36,0.636,0.761
1,50,1,3,4,2,0,0,31,4,1,2,3234.0,1486,1748.0,0.868,1354,28,0.647,0.459
1,56,1,3,6,3,1,0,46,6,3,4,2910.0,709,2201.0,0.538,1192,27,0.588,0.244
1,45,1,1,5,2,0,0,39,4,2,2,3133.0,1510,1623.0,0.609,1435,38,0.462,0.482
1,40,1,1,2,1,1,0,23,6,3,2,6990.0,1378,5612.0,0.73,1479,29,0.611,0.197
1,51,0,2,2,1,4,0,46,5,2,2,5207.0,1650,3557.0,0.708,1339,20,0.538,0.317
1,48,1,3,6,2,1,0,43,6,1,3,5279.0,1115,4164.0,0.549,1642,41,0.519,0.211
1,57,1,0,5,1,1,0,45,6,2,2,2601.0,0,2601.0,0.814,1232,32,0.684,0.0
1,41,1,3,3,2,3,0,36,4,3,3,8029.0,1576,6453.0,0.826,1094,32,0.524,0.196
1,42,0,4,5,1,4,0,31,2,2,2,2410.0,1769,641.0,0.759,1217,30,1.143,0.734
1,48,0,4,3,1,1,0,42,3,1,3,4206.0,1100,3106.0,0.587,1144,22,1.0,0.262
1,45,0,4,2,2,4,0,36,6,3,2,3342.0,2517,825.0,0.771,1139,30,0.765,0.753
1,54,0,3,1,1,5,0,46,2,2,3,1900.0,1376,524.0,0.89,1881,45,0.607,0.724
1,44,1,3,2,2,2,0,37,2,3,2,14546.0,1703,12843.0,0.955,1273,27,0.588,0.117
1,50,0,4,1,2,5,0,36,2,3,2,2521.0,1608,913.0,0.587,1328,33,0.571,0.638
1,48,1,2,2,3,1,0,36,5,1,2,13068.0,1718,11350.0,0.607,937,28,0.556,0.131
1,55,1,2,3,1,1,0,47,5,3,2,3096.0,2217,879.0,0.799,2011,41,0.783,0.716
1,62,0,0,3,1,1,0,52,5,2,3,2052.0,1250,802.0,0.728,1208,31,0.632,0.609
1,46,1,3,3,2,1,0,39,2,3,2,9432.0,1418,8014.0,0.612,1319,26,0.368,0.15
1,35,1,3,5,1,2,0,22,5,2,2,6985.0,1130,5855.0,0.963,1694,44,0.76,0.162
1,63,1,2,3,1,1,0,36,2,2,2,5007.0,930,4077.0,0.885,1050,28,1.154,0.186
1,53,1,3,3,1,2,0,43,5,3,2,5264.0,2169,3095.0,0.374,1219,27,0.5,0.412
1,45,1,2,3,1,3,0,34,5,5,2,12518.0,1539,10979.0,0.645,1165,33,0.833,0.123
1,34,1,3,3,1,2,0,26,4,3,3,3265.0,2517,748.0,0.952,1843,35,0.944,0.771
1,56,1,1,5,1,0,0,36,3,2,2,6041.0,1355,4686.0,0.685,1747,49,0.581,0.224
1,47,1,3,4,3,3,0,36,6,2,2,13399.0,2505,10894.0,0.627,1326,31,0.824,0.187
1,46,0,3,6,1,4,0,38,4,3,3,4317.0,2517,1800.0,0.944,1619,36,1.0,0.583
1,50,0,1,2,2,4,0,36,4,1,3,5012.0,2242,2770.0,0.816,1142,28,1.0,0.447
1,53,0,1,2,2,4,0,45,3,1,2,3471.0,1785,1686.0,1.051,1052,24,0.714,0.514
1,53,1,1,3,1,0,0,36,6,3,2,3312.0,1844,1468.0,0.986,1740,32,0.882,0.557
1,62,1,1,3,1,4,0,53,5,3,3,2077.0,1571,506.0,1.031,1365,38,1.0,0.756
1,46,0,4,2,2,4,0,40,5,1,2,6265.0,1942,4323.0,1.027,1715,43,0.87,0.31
1,52,1,3,2,2,3,0,42,6,3,3,2731.0,1692,1039.0,0.62,1220,22,0.692,0.62
1,52,1,2,3,2,2,0,45,5,3,2,7567.0,1173,6394.0,0.541,1435,32,0.6,0.155
1,40,0,3,3,0,4,0,35,3,1,3,2555.0,2117,438.0,1.049,1334,32,0.6,0.829
1,43,1,3,2,1,3,0,26,5,3,2,2355.0,1090,1265.0,0.751,1441,29,0.812,0.463
1,55,1,1,5,2,1,0,49,6,3,2,1443.0,1375,68.0,0.683,1991,38,0.583,0.953
1,50,0,1,5,1,4,0,43,6,3,4,1438.3,0,1438.3,1.068,1439,41,1.05,0.0
1,50,0,2,2,1,1,0,44,6,2,3,2339.0,1440,899.0,0.431,893,22,0.375,0.616
1,47,0,2,2,1,4,0,36,6,3,2,2726.0,0,2726.0,0.844,1099,27,0.588,0.0
1,49,1,3,2,1,1,0,41,5,3,2,2406.0,1560,846.0,0.751,1173,32,0.391,0.648
1,58,1,2,5,3,0,0,49,6,2,3,9788.0,1794,7994.0,0.778,1805,37,0.762,0.183
1,57,1,2,2,1,3,0,40,3,2,3,12208.0,1980,10228.0,0.616,1409,34,0.619,0.162
1,58,1,1,2,1,2,0,46,3,3,2,10021.0,1617,8404.0,0.578,1275,25,0.667,0.161
1,54,0,2,2,1,4,0,44,3,2,3,2027.0,1480,547.0,0.979,1702,37,0.947,0.73
1,53,1,2,2,1,2,0,47,6,2,2,6363.0,1162,5201.0,0.644,1256,26,1.0,0.183
1,39,0,3,0,2,4,0,25,6,1,2,3920.0,2008,1912.0,0.944,3178,53,0.656,0.512
1,54,0,4,6,0,4,0,49,6,1,1,9376.0,1288,8088.0,0.597,1562,33,0.5,0.137
1,59,0,1,4,1,1,0,46,5,3,3,1944.0,1346,598.0,1.052,1960,57,0.727,0.692
1,55,1,0,3,1,0,0,49,5,3,3,3805.0,2233,1572.0,1.095,1743,27,0.929,0.587
1,52,1,1,5,2,3,0,37,5,2,2,2733.0,1306,1427.0,0.791,1139,39,0.444,0.478
1,46,1,1,5,3,1,0,27,6,3,3,12781.0,1253,11528.0,0.638,1073,21,0.4,0.098
1,55,0,2,2,2,4,0,47,5,3,2,6347.0,0,6347.0,0.466,1161,44,0.375,0.0
1,67,1,1,5,1,1,0,49,4,3,2,3106.0,1675,1431.0,0.781,1512,38,0.407,0.539
1,55,0,2,6,1,4,0,37,3,3,1,2453.0,968,1485.0,1.081,2218,50,0.613,0.395
1,57,1,2,6,2,3,0,36,3,3,2,3127.0,2517,610.0,0.589,1470,30,1.143,0.805
1,56,1,3,6,2,2,0,49,3,1,3,1438.3,0,1438.3,0.503,1093,22,0.833,0.0
1,54,1,3,3,1,0,0,43,4,1,1,13219.0,0,13219.0,0.576,1097,24,0.5,0.0
1,46,0,4,2,0,4,0,36,5,3,1,9478.0,820,8658.0,0.64,1327,41,0.864,0.087
1,55,1,0,3,0,2,0,46,6,1,2,9734.0,0,9734.0,0.785,1476,38,0.9,0.0
1,46,0,2,2,1,1,0,22,6,1,3,2305.0,1627,678.0,0.747,1230,36,0.565,0.706
1,47,0,4,5,1,1,0,36,3,1,3,14241.0,2081,12160.0,0.909,1581,44,0.833,0.146
1,36,0,2,6,1,1,0,25,3,1,2,4789.0,1257,3532.0,1.134,1534,29,0.933,0.262
1,58,0,3,2,1,4,0,53,5,3,2,5798.0,1794,4004.0,0.564,1724,45,0.452,0.309
1,56,0,1,2,2,1,0,47,3,2,1,6038.0,0,6038.0,0.741,1447,30,0.875,0.0
1,39,0,1,6,2,1,0,36,6,1,3,11213.0,0,11213.0,0.563,1257,23,0.643,0.0
1,53,0,1,3,1,4,0,47,6,1,2,3445.0,1074,2371.0,0.67,1074,31,0.632,0.312
1,59,0,0,2,2,4,0,46,4,1,2,3044.0,1611,1433.0,0.74,1456,36,0.714,0.529
1,38,1,1,6,2,2,0,29,5,2,1,14596.0,2192,12404.0,0.898,1300,25,1.083,0.15
1,61,1,1,5,2,2,0,46,5,3,2,2201.0,1138,1063.0,0.675,1199,32,0.6,0.517
1,40,0,3,3,2,1,0,36,5,3,2,5124.0,2235,2889.0,0.542,1158,42,0.355,0.436
1,63,1,1,2,1,1,0,53,6,6,2,2880.0,2362,518.0,0.89,1323,26,0.444,0.82
1,37,0,1,2,1,1,0,29,5,2,2,4394.0,885,3509.0,1.04,1377,32,0.684,0.201
1,46,0,4,4,1,4,0,37,5,3,2,3773.0,1972,1801.0,0.783,1528,25,1.083,0.523
1,48,0,3,3,0,1,0,40,4,1,2,1919.0,774,1145.0,0.965,1505,33,0.737,0.403
1,49,0,3,2,2,1,0,33,5,3,2,9995.0,1713,8282.0,0.96,1172,38,0.462,0.171
1,54,0,0,0,1,4,0,40,3,1,2,1638.0,0,1638.0,0.75,1885,51,0.545,0.0
1,54,1,1,2,1,2,0,36,3,3,2,2947.0,2216,731.0,0.76,1744,53,0.606,0.752
1,59,1,1,0,2,1,0,48,6,3,3,7251.0,1603,5648.0,0.591,1300,36,0.8,0.221
1,56,0,1,0,1,4,0,36,6,2,3,2641.0,1257,1384.0,0.891,1439,39,1.053,0.476
1,48,0,3,0,0,1,0,41,4,1,3,9336.0,1672,7664.0,0.696,1391,39,0.625,0.179
1,34,1,4,4,2,3,0,26,3,3,2,5100.0,1786,3314.0,1.06,2375,63,0.575,0.35
1,56,1,3,4,1,2,0,39,3,1,2,3955.0,2517,1438.0,0.484,1238,25,1.083,0.636
1,38,0,2,5,2,4,0,32,5,3,3,2264.0,0,2264.0,0.479,1204,28,0.333,0.0
1,41,0,4,2,2,1,0,31,4,2,3,2375.0,1658,717.0,0.638,1071,28,1.0,0.698
1,47,0,4,0,2,4,0,37,6,2,2,4256.0,1084,3172.0,0.63,1100,29,0.381,0.255
1,42,1,4,5,0,2,0,32,4,1,2,5504.0,0,5504.0,0.62,1364,32,0.684,0.0
1,37,1,4,2,1,3,0,28,4,1,2,10021.0,1203,8818.0,0.93,1463,40,1.0,0.12
1,41,0,1,3,2,1,0,31,6,3,2,4969.0,838,4131.0,0.591,1489,32,0.455,0.169
1,48,0,3,2,0,4,0,40,3,2,3,3117.0,1603,1514.0,1.167,1437,37,0.609,0.514
1,61,1,0,3,2,2,0,51,4,2,2,5504.0,1412,4092.0,0.722,1290,38,0.462,0.257
1,51,1,3,3,1,0,0,40,6,3,2,7319.0,1692,5627.0,0.701,1233,29,0.611,0.231
1,48,1,4,6,2,2,0,30,4,3,3,7712.0,1387,6325.0,0.861,1597,39,0.56,0.18
1,56,0,2,4,1,4,0,48,6,1,2,4930.0,2259,2671.0,1.134,2194,53,0.606,0.458
1,39,0,2,0,2,4,0,36,6,3,3,9476.0,0,9476.0,0.605,1128,27,0.929,0.0
1,44,1,2,2,2,0,0,33,4,1,3,13301.0,0,13301.0,1.058,1385,50,0.515,0.0
1,44,1,2,2,2,1,0,34,5,3,1,5331.0,1993,3338.0,0.777,1766,39,0.625,0.374
1,40,1,4,0,3,3,0,25,3,3,1,1962.0,0,1962.0,0.684,1179,27,0.688,0.0
1,60,1,0,5,2,4,0,53,5,3,2,2402.0,1728,674.0,0.652,1650,53,0.606,0.719
1,62,1,0,2,1,2,0,36,6,3,3,3674.0,895,2779.0,0.658,1703,48,0.371,0.244
1,59,1,0,2,2,1,0,48,4,2,2,1638.0,0,1638.0,0.533,1536,44,0.63,0.0
1,46,1,4,2,2,2,0,38,3,3,2,4335.0,2480,1855.0,0.543,1373,36,1.118,0.572
1,44,1,4,3,2,2,0,32,5,3,2,3233.0,1034,2199.0,0.759,1256,29,0.706,0.32
1,40,1,3,3,3,2,0,36,4,2,1,3624.0,1975,1649.0,0.708,1469,23,1.091,0.545
1,54,1,1,6,1,3,0,36,4,1,2,6175.0,960,5215.0,0.709,1847,59,0.405,0.155
1,44,1,4,2,1,2,0,28,6,2,3,11338.0,0,11338.0,0.695,1227,24,0.5,0.0
1,47,0,2,1,1,4,0,35,3,2,2,5544.0,1184,4360.0,0.85,1336,38,0.652,0.214
1,50,0,2,3,1,4,0,43,6,2,3,2927.0,1412,1515.0,0.763,1474,26,0.857,0.482
1,53,0,3,0,1,1,0,33,4,3,3,5146.0,1618,3528.0,1.073,1955,44,0.76,0.314
1,57,1,2,3,1,2,0,38,3,1,2,2736.0,1822,914.0,0.593,1211,25,0.923,0.666
1,60,1,0,2,1,4,0,36,6,2,2,1976.0,1311,665.0,0.995,1498,43,0.536,0.663
1,49,1,4,5,1,3,0,40,3,1,1,8714.0,2252,6462.0,0.831,1536,38,0.652,0.258
1,46,0,4,1,0,4,0,41,4,1,1,8693.0,1378,7315.0,0.799,1594,45,0.452,0.159
1,42,1,1,5,1,3,0,36,6,1,2,9247.0,710,8537.0,0.735,1190,30,0.5,0.077
1,45,1,2,1,1,3,0,40,6,3,1,11710.0,693,11017.0,0.914,1749,50,0.429,0.059
1,34,0,2,2,1,4,0,24,6,2,2,3663.0,1853,1810.0,0.963,1826,35,1.059,0.506
1,35,0,1,0,2,5,0,28,4,5,2,3518.0,1575,1943.0,0.625,2121,60,0.579,0.448
1,56,0,4,6,1,4,0,46,5,3,2,4271.0,1150,3121.0,1.064,2052,50,0.724,0.269
1,55,0,3,2,2,4,0,29,6,1,2,7361.0,1309,6052.0,0.504,1175,34,0.7,0.178
1,26,1,0,0,2,4,0,36,4,1,3,1438.3,479,959.3,0.553,1786,37,0.37,0.333
1,42,0,3,2,1,4,0,33,6,3,3,8628.0,1077,7551.0,0.872,1675,58,0.415,0.125
1,38,0,3,3,1,5,0,29,4,2,2,11327.0,1528,9799.0,1.142,2033,38,0.727,0.135
1,39,0,3,4,1,1,0,28,4,2,2,3249.0,2217,1032.0,1.06,1988,36,0.895,0.682
1,42,1,3,6,2,3,0,33,3,3,2,3714.0,2170,1544.0,0.524,1454,35,0.522,0.584
1,44,0,3,0,3,4,0,25,6,3,2,3083.0,1040,2043.0,0.729,4311,78,0.56,0.337
1,37,0,3,2,1,5,0,24,3,2,2,10584.0,1550,9034.0,0.692,1567,33,0.32,0.146
1,50,0,3,6,1,4,0,42,4,1,2,2240.0,0,2240.0,0.668,1905,39,0.345,0.0
1,51,1,2,2,1,1,0,40,5,1,2,12240.0,1566,10674.0,0.539,1422,26,0.529,0.128
1,36,0,2,2,1,4,0,24,3,1,3,3124.0,1593,1531.0,0.869,1652,41,0.367,0.51
1,46,1,3,2,1,1,0,32,6,2,3,11477.0,0,11477.0,0.767,1260,27,0.688,0.0
1,43,0,2,2,1,4,0,33,5,2,2,3933.0,852,3081.0,0.433,1489,45,0.324,0.217
1,50,1,2,3,3,2,0,41,6,2,2,3244.0,1762,1482.0,0.661,1274,32,1.0,0.543
1,43,0,3,2,1,1,0,36,6,1,3,2936.0,2379,557.0,0.694,1572,57,0.676,0.81
1,54,1,3,3,1,3,0,36,6,1,2,1438.3,1133,305.3,0.759,1935,41,0.708,0.788
1,33,1,2,6,1,2,0,25,6,3,3,6242.0,491,5751.0,1.054,2187,59,0.405,0.079
1,41,1,3,2,2,3,0,26,4,3,2,11806.0,1811,9995.0,0.754,1465,31,0.476,0.153
1,48,1,3,4,2,2,0,39,5,2,2,4734.0,954,3780.0,0.6,1570,45,0.452,0.202
1,45,0,0,0,0,4,0,35,6,1,3,5923.0,1686,4237.0,0.702,1236,35,0.591,0.285
1,51,0,1,2,1,4,0,42,6,2,2,5822.0,2387,3435.0,0.76,1804,49,0.75,0.41
1,39,1,3,1,1,2,0,29,3,1,3,3537.0,2517,1020.0,1.021,1605,43,0.344,0.712
1,38,1,2,3,1,3,0,36,5,3,3,2407.0,843,1564.0,1.008,1470,28,0.4,0.35
1,49,0,2,3,2,4,0,43,4,1,2,3538.0,0,3538.0,0.481,1265,38,0.462,0.0
1,37,0,0,6,1,4,0,31,5,2,2,2684.0,1381,1303.0,0.794,2002,60,0.429,0.515
1,44,0,3,5,2,4,0,36,5,3,3,4307.0,0,4307.0,0.745,1628,37,0.542,0.0
1,58,0,2,5,1,1,0,47,3,2,2,2848.0,1468,1380.0,0.517,1135,27,0.421,0.515
1,44,1,3,0,3,3,0,35,6,1,2,6361.0,1292,5069.0,1.027,1571,38,0.52,0.203
1,57,1,1,3,1,1,0,48,5,1,3,2544.0,1927,617.0,0.939,1346,30,0.364,0.757
1,53,0,3,5,1,4,0,48,6,1,3,3428.0,1566,1862.0,0.557,1155,34,0.545,0.457
1,45,0,1,1,2,4,0,36,6,2,2,1438.3,0,1438.3,0.597,1431,34,0.545,0.0
1,51,0,4,2,2,4,0,42,3,1,3,2680.0,1753,927.0,0.32,1154,33,0.571,0.654
1,46,0,2,3,1,4,0,35,6,4,3,4675.0,1734,2941.0,0.413,1232,34,0.545,0.371
1,40,0,5,0,1,4,0,35,3,1,3,2448.0,1693,755.0,0.502,1269,30,0.875,0.692
1,53,1,1,3,2,3,0,38,6,2,2,8154.0,996,7158.0,0.594,1379,26,1.0,0.122
1,37,1,4,2,1,2,0,30,5,3,2,2578.0,2517,61.0,0.896,1830,64,0.524,0.976
1,62,0,0,2,1,5,0,52,6,3,2,9050.0,1538,7512.0,0.77,1542,43,0.654,0.17
1,50,1,1,2,1,3,0,42,3,3,4,4051.0,1183,2868.0,0.794,1837,57,0.629,0.292
1,48,1,3,0,1,2,0,37,3,3,2,11959.0,1665,10294.0,0.675,1191,40,0.481,0.139
1,60,0,1,5,0,1,0,48,3,2,2,2070.0,0,2070.0,0.708,1793,53,0.963,0.0
1,46,1,1,6,2,0,0,32,5,2,1,11840.0,1295,10545.0,0.84,1560,49,0.4,0.109
1,47,1,2,0,1,0,0,35,4,3,2,3636.0,1010,2626.0,0.596,1564,59,0.686,0.278
1,53,1,2,1,1,2,0,40,3,3,3,11262.0,1435,9827.0,0.735,2165,61,0.649,0.127
1,56,0,4,3,1,1,0,36,5,1,1,2072.0,1543,529.0,0.486,1265,32,0.391,0.745
1,41,1,3,5,1,3,0,24,4,3,3,4119.0,1656,2463.0,0.561,1455,35,0.667,0.402
1,60,0,1,2,1,1,0,42,5,3,3,5903.0,1335,4568.0,0.914,1137,27,0.929,0.226
1,40,1,5,2,3,1,0,25,6,2,3,7860.0,541,7319.0,0.764,1367,35,0.75,0.069
1,49,0,3,4,1,1,0,36,6,2,2,5918.0,842,5076.0,0.56,1292,26,0.733,0.142
1,46,1,4,2,2,1,0,41,5,3,2,6741.0,1745,4996.0,0.559,1682,46,0.438,0.259
1,36,0,3,3,1,4,0,36,6,1,2,3880.0,1542,2338.0,1.015,1598,39,0.5,0.397
1,44,0,5,6,2,4,0,24,4,3,3,2003.0,1224,779.0,0.646,1756,42,0.355,0.611
1,39,1,2,5,2,1,0,32,6,3,2,7723.0,1902,5821.0,1.181,1241,22,1.0,0.246
1,44,0,4,0,1,4,0,39,4,2,2,8128.0,1846,6282.0,0.857,1224,32,0.778,0.227
1,43,1,3,3,1,3,0,32,6,2,3,5851.0,1660,4191.0,0.786,1572,38,0.52,0.284
1,54,1,1,4,2,3,0,40,6,3,3,10260.0,942,9318.0,1.042,1566,50,0.562,0.092
1,55,1,2,6,2,2,0,36,6,3,3,2243.0,1418,825.0,0.39,1334,31,0.409,0.632
1,55,0,2,4,1,4,0,45,3,3,3,2163.0,0,2163.0,0.816,1349,47,0.88,0.0
1,39,0,2,2,1,4,0,26,3,1,2,4531.0,1214,3317.0,0.813,1414,40,0.333,0.268
1,42,0,4,2,2,4,0,26,5,2,3,2950.0,1705,1245.0,0.605,1260,32,0.6,0.578
1,39,1,1,0,2,1,0,24,4,3,3,3770.0,1197,2573.0,0.621,1602,49,0.441,0.318
1,50,1,1,5,2,2,0,45,5,2,2,10344.0,1274,9070.0,0.445,1617,47,0.424,0.123
1,41,1,4,6,1,4,0,30,4,6,1,2450.0,1967,483.0,0.589,1263,29,0.611,0.803
1,58,0,2,5,1,1,0,53,6,2,3,2019.0,1380,639.0,1.158,2005,62,0.59,0.684
1,55,1,1,4,1,3,0,45,5,3,3,9959.0,1890,8069.0,1.043,2041,45,0.875,0.19
1,32,0,1,6,1,4,0,22,3,3,2,2642.0,2035,607.0,1.119,1761,42,0.909,0.77
1,33,0,2,3,2,4,0,36,4,1,1,8070.0,2350,5720.0,1.03,2117,61,0.649,0.291
